Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
RUNNERAUTO,27.4,-0.72,27.8,27.3,27.4,27.6,-0.2,86,1.53,56040
RUPALIBANK,23.0,-0.86,23.3,22.9,23.0,23.2,-0.2,117,2.72,118053
RUPALIINS,21.2,-0.47,21.6,21.1,21.2,21.3,-0.1,62,0.4,19011
RUPALILIFE,94.7,1.28,94.9,93.5,94.7,93.5,1.2,203,3.72,39425
SADHESIVE,70.8,3.36,70.8,70.8,70.8,68.5,2.3,1,0.0,5
SAFKOSPINN,13.0,0.0,14.3,13.0,13.0,13.0,0.0,383,6.48,466729
SAIFPOWER,12.2,-0.81,12.4,12.2,12.2,12.3,-0.1,185,3.25,265179
SAIHAMCOT,14.9,-0.67,15.1,14.9,14.9,15.0,-0.1,134,4.42,295908
SAIHAMTEX,15.0,-1.32,15.3,14.9,15.0,15.2,-0.2,105,2.55,169864
SALAMCRST,21.9,-3.52,23.2,21.4,21.9,22.7,-0.8,834,17.38,778759
SALVOCHEM,24.4,-2.4,25.1,24.3,24.4,25.0,-0.6,283,8.03,325669
SAMATALETH,42.2,-2.99,43.4,42.2,42.2,43.5,-1.3,25,0.22,5245
SAMORITA,56.3,-3.1,58.4,56.3,56.3,58.1,-1.8,255,2.92,51159
SANDHANINS,23.0,0.44,23.5,22.9,23.0,22.9,0.1,338,6.92,298101
SAPORTL,22.4,0.0,22.6,22.3,22.4,22.4,0.0,135,2.89,128703
SAVAREFR,0.0,0.0,0.0,0.0,0.0,215.5,0.0,0,0.0,0
SBACBANK,8.7,0.0,8.9,8.6,8.7,8.7,0.0,113,3.41,387639
SEAPEARL,36.5,-2.93,38.0,36.4,36.5,37.6,-1.1,637,18.84,499167
SEB1PBOND,0.0,0.0,0.0,0.0,0.0,4900.0,0.0,0,0.0,0
SEMLFBSLGF,4.4,-2.22,4.4,4.4,4.4,4.5,-0.1,5,0.14,32500
SEMLIBBLSF,6.0,0.0,6.1,6.0,6.0,6.0,0.0,12,0.08,12835
SEMLLECMF,6.7,-1.47,6.8,6.7,6.7,6.8,-0.1,25,2.16,320722
SHAHJABANK,18.9,-0.53,19.2,18.8,18.9,19.0,-0.1,60,9.56,504280
SHARPIND,21.6,-5.26,23.0,21.5,21.6,22.8,-1.2,334,7.9,356015
SHASHADNIM,19.2,-1.03,19.6,19.0,19.2,19.4,-0.2,79,3.37,175320
SHEPHERD,18.2,0.0,18.4,17.9,18.2,18.2,0.0,292,12.19,673397
SHURWID,8.9,1.14,9.4,8.7,8.9,8.8,0.1,196,2.37,259888
SHYAMPSUG,104.0,0.97,105.3,104.0,104.0,103.0,1.0,99,0.68,6524
SIBL,9.6,0.0,9.8,9.6,9.6,9.6,0.0,61,1.04,108665
SICL,21.1,1.44,21.3,20.5,21.1,20.8,0.3,142,1.54,73450
SILCOPHL,16.6,0.0,16.9,16.6,16.6,16.6,0.0,179,3.39,202405
SILVAPHL,11.8,2.61,12.1,11.6,11.8,11.5,0.3,395,9.69,811624
SIMTEX,19.6,-2.97,20.4,19.5,19.6,20.2,-0.6,342,8.64,434366
SINGERBD,107.0,-2.64,108.6,105.8,107.0,109.9,-2.9,148,2.16,20259
SINOBANGLA,47.9,0.42,48.6,47.3,47.9,47.7,0.2,302,9.09,190458
SIPLC,39.9,0.0,40.3,39.8,39.9,39.9,0.0,28,0.15,3803
SKTRIMS,14.0,0.72,14.4,13.8,14.0,13.9,0.1,47,0.43,30499
SONALIANSH,198.2,-0.75,203.1,197.9,198.2,199.7,-1.5,404,6.34,31908
SONALILIFE,44.1,-2.65,45.5,44.1,44.1,45.3,-1.2,38,0.19,4133
SONALIPAPR,160.8,-1.41,164.1,160.5,160.8,163.1,-2.3,669,14.65,90512
SONARBAINS,23.0,-0.43,23.4,22.8,23.0,23.1,-0.1,23,0.13,5421
SONARGAON,49.7,-3.5,51.8,49.6,49.7,51.5,-1.8,958,29.54,582929
SOUTHEASTB,8.9,0.0,8.9,8.8,8.9,8.9,0.0,87,11.98,1347822
SPCERAMICS,18.0,1.69,19.0,17.7,18.0,17.7,0.3,2247,70.05,3840046
SPCL,33.4,-1.18,33.9,33.3,33.4,33.8,-0.4,188,3.95,118045
SQUARETEXT,51.0,-1.16,51.6,51.0,51.0,51.6,-0.6,87,1.14,22259
SQURPHARMA,217.0,-0.05,217.5,216.0,217.0,217.1,-0.1,514,30.32,139628
SSSTEEL,8.6,-1.15,8.8,8.6,8.6,8.7,-0.1,98,1.99,229844
STANCERAM,68.2,-2.43,70.0,68.2,68.2,69.9,-1.7,21,0.21,3011
STANDARINS,30.6,0.33,30.7,30.2,30.6,30.5,0.1,20,0.19,6310
STANDBANKL,6.0,0.0,6.1,6.0,6.0,6.0,0.0,35,0.88,145907
STYLECRAFT,64.2,1.58,65.8,62.5,64.2,63.2,1.0,805,9.29,145019
SUMITPOWER,16.2,-0.61,16.5,16.2,16.2,16.3,-0.1,196,4.66,286458
SUNLIFEINS,66.4,-1.63,67.7,66.0,66.4,67.5,-1.1,254,6.87,102865
TAKAFULINS,34.2,2.4,34.3,33.6,34.2,33.4,0.8,13,0.03,780
TALLUSPIN,6.3,-1.56,6.5,6.3,6.3,6.4,-0.1,37,0.22,34301
TAMIJTEX,112.0,0.09,114.0,109.4,112.0,111.9,0.1,45,0.64,5761
TECHNODRUG,33.7,-0.59,34.1,33.6,33.7,33.9,-0.2,450,9.52,281132
TILIL,39.0,-2.01,39.9,39.0,39.0,39.8,-0.8,134,1.71,43814
TITASGAS,19.8,-0.5,20.0,19.6,19.8,19.9,-0.1,68,0.99,49993
TOSRIFA,23.8,0.0,24.5,23.5,23.8,23.8,0.0,169,3.87,162402
TRUSTB1MF,3.4,0.0,3.4,3.3,3.4,3.4,0.0,13,0.03,7777
TRUSTBANK,22.2,0.45,22.2,21.9,22.2,22.1,0.1,28,0.75,34182
TUNGHAI,3.2,0.0,3.2,3.1,3.2,3.2,0.0,41,0.26,80729
UCB,9.9,-2.94,10.3,9.9,9.9,10.2,-0.3,158,4.83,481341
UCB2PBOND,0.0,0.0,0.0,0.0,0.0,4700.0,0.0,0,0.0,0
UNILEVERCL,2534.0,0.88,2552.0,2505.1,2534.0,2512.0,22.0,63,2.76,1092
UNIONBANK,4.0,-2.44,4.1,4.0,4.0,4.1,-0.1,72,0.63,156227
UNIONCAP,6.3,-1.56,6.4,6.2,6.3,6.4,-0.1,19,0.14,21246
UNIONINS,26.0,-0.76,26.8,26.0,26.0,26.2,-0.2,64,0.69,25982
UNIQUEHRL,42.9,-1.15,43.6,42.9,42.9,43.4,-0.5,214,4.59,106444
UNITEDFIN,12.5,0.0,12.7,12.5,12.5,12.5,0.0,65,1.03,81974
UNITEDINS,36.3,0.28,38.0,36.3,36.3,36.2,0.1,18,0.22,6003
